essay,hours,grade
61.6754974920745,10.6303372921189,2
69.5450056362295,7.28522617959232,1
48.2293039713449,5.05204775449098,4
70.6786516311817,2.88661436120476,1
59.8996225857332,9.54501229482367,3
61.1620237718455,11.3108384701452,2
67.6247016928604,7.46507180351913,2
64.7790589873963,8.47127906794298,2
63.207063456166,8.71537345316005,2
49.6910817003072,6.20347356947365,4
63.7189196026189,4.77251550782322,2
72.2425933666743,10.9815424018851,1
70.5862210579123,5.2215409766568,1
58.6398615751171,6.85848450383968,3
58.7153800614887,9.7984118965962,3
67.3999698058767,9.49072930246925,2
60.7037631406063,6.51736420324962,2
60.931351175695,11.8021326615165,2
62.3401801239332,8.9631311299393,2
59.9662288209405,5.42249029575092,3
52.1619843495503,6.40972025602273,3
76.5879640890472,15.0104773734972,1
60.9196973933278,8.07064211676738,2
66.6330159660377,10.9720986214915,2
73.6195367228337,14.7776461317624,1
60.2224731091917,5.2455561967939,2
59.257246898708,8.67216132385057,3
51.9302907572568,8.55546259639567,3
59.4301075638833,6.08144370899007,3
69.4087175381595,7.42190548469444,1
65.2986136310665,12.3137937416164,2
60.2838297249765,9.93443882388444,2
60.8535237978012,7.79529820172183,2
71.6333469504557,6.5627956116459,1
69.1407939072155,10.2828636303044,1
66.4753904156445,5.11639249646656,2
63.0477561140632,8.66268357519631,2
68.1678280737943,6.59320568183171,2
64.7480342462125,3.70537792316693,2
68.2804343717536,12.9178683539958,2
60.4052387002631,8.6962361085862,2
64.6313248038771,11.2150596156186,2
58.2594898681359,6.83244891007452,3
52.2352473953415,8.62308388223268,3
79.8777504975499,7.84368345377415,1
